FIPS,vets_2016
20095,566
20097,165
20099,"1,381"
20101,114
20103,"10,243"
20105,268
20107,834
20109,207
20111,"1,884"
20113,"1,725"
20115,680
20117,800
20119,243
20121,"2,252"
20123,409
20125,"2,413"
20127,625
20129,135
20131,601
20133,"1,109"
20135,225
20137,411
20139,"1,455"
20141,235
20143,457
20145,457
20147,350
20149,"1,814"
20151,556
20153,198
20155,"4,274"
20157,457
20159,642
20161,"6,854"
20163,334
20165,274
20167,534
20169,"3,992"
20171,322
20173,"34,386"
20175,592
20177,"14,676"
20179,187
20181,353
20183,332
20185,292
20187,64
20189,223
20191,"1,843"
20193,489
20195,254
20197,618
20199,95
20201,413
20203,79
20205,667
20207,286
20209,"9,524"
21001,"1,081"
21003,"1,438"
21005,"1,644"
21007,645
21009,"2,730"
21011,544
21013,"1,581"
21015,"7,973"
21017,"1,316"
21019,"3,825"
21021,"1,981"
21023,560
21025,608
21027,"1,447"
21029,"6,401"
21031,827
21033,"1,053"
21035,"2,342"
21037,"5,551"
21039,372
21041,733
21043,"1,524"
21045,"1,042"
21047,"8,843"
21049,"2,746"
21051,906
21053,499
21055,656
21057,452
21059,"6,968"
21061,780
21063,321
21065,902
21067,"16,970"
21069,"1,043"
21071,"1,639"
21073,"3,771"
21075,524
21077,645
21079,"1,136"
21081,"1,592"
21083,"2,307"
21085,"1,757"
21087,787
21089,"2,880"
21091,624
21093,"16,386"
21095,"1,737"
21097,"1,379"
21099,"1,064"
21101,"3,132"
21103,"1,085"
21105,294
21107,"3,213"
21109,617
21111,"50,765"
21113,"3,401"
21115,"1,482"
21117,"10,764"
21119,746
21121,"1,637"
21123,"1,105"
21125,"4,001"
21127,861
21129,395
21131,398
21133,"1,172"
21135,853
21137,"1,467"
21139,669
21141,"1,877"
21143,776
21145,"4,995"
21147,"1,041"
21149,546
21151,"5,673"
21153,338
21155,"1,041"
21157,"2,425"
21159,436
21161,"1,159"
21163,"3,560"
21165,386
21167,"1,590"
21169,638
21171,658
21173,"1,676"
21175,569
21177,"1,998"
21179,"3,374"
21181,403
21183,"1,790"
21185,"3,972"
21187,741
21189,166
21191,"1,009"
21193,"1,401"
21195,"2,781"
21197,904
21199,"4,955"
21201,140
21203,953
21205,"1,183"
