County,County Code,Deaths,Population,Crude Rate,num_rate
"Butler County, PA",42019,12,174083,6.9 (Unreliable),6.9
"Cambria County, PA",42021,11,152598,7.2 (Unreliable),7.2
"Chester County, PA",42029,23,433501,5.3,5.3
"Dauphin County, PA",42043,12,251798,4.8 (Unreliable),4.8
"Delaware County, PA",42045,71,550864,12.9,12.9
"Erie County, PA",42049,18,280843,6.4 (Unreliable),6.4
"Fayette County, PA",42051,11,148644,7.4 (Unreliable),7.4
"Lackawanna County, PA",42069,38,213295,17.8,17.8
"Lancaster County, PA",42071,24,470658,5.1,5.1
"Lebanon County, PA",42075,11,120327,9.1 (Unreliable),9.1
"Lehigh County, PA",42077,28,312090,9,9
"Luzerne County, PA",42079,37,319250,11.6,11.6
"Monroe County, PA",42089,18,138687,13.0 (Unreliable),13
"Montgomery County, PA",42091,60,750097,8,8
"Northampton County, PA",42095,17,267066,6.4 (Unreliable),6.4
"Philadelphia County, PA",42101,367,1517550,24.2,24.2
"Schuylkill County, PA",42107,10,150336,6.7 (Unreliable),6.7
"Westmoreland County, PA",42129,12,369993,3.2 (Unreliable),3.2
"York County, PA",42133,28,381751,7.3,7.3
"Kent County, RI",44003,13,167090,7.8 (Unreliable),7.8
"Providence County, RI",44007,51,621602,8.2,8.2
"Aiken County, SC",45003,13,142552,9.1 (Unreliable),9.1
"Anderson County, SC",45007,12,165740,7.2 (Unreliable),7.2
"Charleston County, SC",45019,32,309969,10.3,10.3
"Greenville County, SC",45045,42,379616,11.1,11.1
"Horry County, SC",45051,27,196629,13.7,13.7
"Lexington County, SC",45063,13,216014,6.0 (Unreliable),6
"Richland County, SC",45079,12,320677,3.7 (Unreliable),3.7
"Spartanburg County, SC",45083,26,253791,10.2,10.2
"Davidson County, TN",47037,41,569891,7.2,7.2
"Hamilton County, TN",47065,19,307896,6.2 (Unreliable),6.2
"Knox County, TN",47093,36,382032,9.4,9.4
"Rutherford County, TN",47149,13,182023,7.1 (Unreliable),7.1
"Shelby County, TN",47157,62,897472,6.9,6.9
"Sullivan County, TN",47163,17,153048,11.1 (Unreliable),11.1
"Bexar County, TX",48029,85,1392931,6.1,6.1
"Brazoria County, TX",48039,15,241767,6.2 (Unreliable),6.2
"Collin County, TX",48085,25,491675,5.1,5.1
"Dallas County, TX",48113,106,2218899,4.8,4.8
"Denton County, TX",48121,20,432976,4.6,4.6
"El Paso County, TX",48141,60,679622,8.8,8.8
"Galveston County, TX",48167,16,250158,6.4 (Unreliable),6.4
"Gregg County, TX",48183,12,111379,10.8 (Unreliable),10.8
"Harris County, TX",48201,199,3400578,5.9,5.9
"Jefferson County, TX",48245,16,252051,6.3 (Unreliable),6.3
"Montgomery County, TX",48339,30,293768,10.2,10.2
"Orange County, TX",48361,13,84966,15.3 (Unreliable),15.3
"Tarrant County, TX",48439,74,1446219,5.1,5.1
"Travis County, TX",48453,53,812280,6.5,6.5
"Davis County, UT",49011,22,238994,9.2,9.2
"Salt Lake County, UT",49035,121,898387,13.5,13.5
"Utah County, UT",49049,23,368536,6.2,6.2
"Weber County, UT",49057,13,196533,6.6 (Unreliable),6.6
"Chesterfield County, VA",51041,16,259903,6.2 (Unreliable),6.2
"Fairfax County, VA",51059,32,969749,3.3,3.3
"Henrico County, VA",51087,20,262300,7.6,7.6
"Prince William County, VA",51153,16,280813,5.7 (Unreliable),5.7
"Newport News city, VA",51700,15,180150,8.3 (Unreliable),8.3
"Norfolk city, VA",51710,16,234403,6.8 (Unreliable),6.8
"Richmond city, VA",51760,36,197790,18.2,18.2
"Virginia Beach city, VA",51810,24,425257,5.6,5.6
"Clark County, WA",53011,35,345238,10.1,10.1
"Cowlitz County, WA",53015,13,92948,14.0 (Unreliable),14
"King County, WA",53033,191,1737034,11,11
"Kitsap County, WA",53035,19,231969,8.2 (Unreliable),8.2
"Lewis County, WA",53041,11,68600,16.0 (Unreliable),16
"Pierce County, WA",53053,88,700820,12.6,12.6
"Skagit County, WA",53057,11,102979,10.7 (Unreliable),10.7
"Snohomish County, WA",53061,59,606024,9.7,9.7
"Spokane County, WA",53063,40,417939,9.6,9.6
"Whatcom County, WA",53073,12,166814,7.2 (Unreliable),7.2
"Yakima County, WA",53077,17,222581,7.6 (Unreliable),7.6
"Kanawha County, WV",54039,22,200073,11,11
"Raleigh County, WV",54081,10,79220,12.6 (Unreliable),12.6
"Dane County, WI",55025,26,426526,6.1,6.1
"Kenosha County, WI",55059,16,149577,10.7 (Unreliable),10.7
"Milwaukee County, WI",55079,87,940164,9.3,9.3
"Racine County, WI",55101,10,188831,5.3 (Unreliable),5.3
"Waukesha County, WI",55133,14,360767,3.9 (Unreliable),3.9
"Winnebago County, WI",55139,10,156763,6.4 (Unreliable),6.4
